3000m steeplechase men,rio 2016,Hillary Bor,USA,7.,8:22.74
3000m steeplechase men,rio 2016,Donald Cabral,USA,8.,8:25.81
3000m steeplechase men,rio 2016,Altobeli Da Silva,BRA,9.,8:26.30
3000m steeplechase men,rio 2016,Matthew Hughes 1,CAN,10.,8:36.83
3000m steeplechase men,rio 2016,Yemane Haileselassie,ERI,11.,8:40.68
400m hurdles men,rio 2016,Kerron Clement,USA,1.,47.73
400m hurdles men,rio 2016,Boniface Mucheru,KEN,2.,47.78
400m hurdles men,rio 2016,Yasmani Copello,TUR,3.,47.92
400m hurdles men,rio 2016,Thomas Barr,IRL,4.,47.97
400m hurdles men,rio 2016,Annsert Whyte,JAM,5.,48.07
400m hurdles men,rio 2016,Rasmus Magi,EST,6.,48.40
400m hurdles men,rio 2016,Haron Koech,KEN,7.,49.09
400m men,rio 2016,Wayde Van Niekerk,RSA,1.,43.03
400m men,rio 2016,Kirani James,GRN,2.,43.76
400m men,rio 2016,Lashawn Merritt,USA,3.,43.85
400m men,rio 2016,Machel Cedenio,TTO,4.,44.01
400m men,rio 2016,Karabo Sibanda,BOT,5.,44.25
400m men,rio 2016,Ali Khamis Khamis,BRN,6.,44.36
400m men,rio 2016,Bralon Taplin,GRN,7.,44.45
400m men,rio 2016,Matthew Hudson Smith,GBR,8.,44.61
5000m men,rio 2016,Mohamed Farah,GBR,1.,13:03.30
5000m men,rio 2016,Paul Kipkemoi Chelimo,USA,2.,13:03.90
5000m men,rio 2016,Hagos Gebrhiwet,ETH,3.,13:04.35
5000m men,rio 2016,Mohammed Ahmed,CAN,4.,13:05.94
5000m men,rio 2016,Bernard Lagat 1,USA,5.,13:06.78
5000m men,rio 2016,Andrew Butchart,GBR,6.,13:08.61
5000m men,rio 2016,Albert Kibichii Rop,BRN,7.,13:08.79
5000m men,rio 2016,Joshua Kiprui Cheptegei,UGA,8.,13:09.17
5000m men,rio 2016,Birhanu Balew,BRN,9.,13:09.26
5000m men,rio 2016,Abrar Osman Adem,ERI,10.,13:09.56
5000m men,rio 2016,Hassan Mead,USA,11.,13:09.81
5000m men,rio 2016,Dejen Gebremeskel,ETH,12.,13:15.91
5000m men,rio 2016,Elroy Gelant,RSA,13.,13:17.47
5000m men,rio 2016,Brett Robinson,AUS,14.,13:32.30
5000m men,rio 2016,David Torrence 1,PER,15.,13:43.12
5000m men,rio 2016,Hagos Gebrhiwet,ETH,1.,13:24.65
5000m men,rio 2016,Albert Kibichii Rop,BRN,2.,13:24.95
5000m men,rio 2016,Mohamed Farah,GBR,3.,13:25.25
5000m men,rio 2016,Joshua Kiprui Cheptegei,UGA,4.,13:25.70
5000m men,rio 2016,Bernard Lagat 1,USA,5.,13:26.02
5000m men,rio 2016,Caleb Mwangangi Ndiku,KEN,6.,13:26.63
5000m men,rio 2016,Hayle Ibrahimov,AZE,7.,13:27.11
5000m men,rio 2016,Aron Kifle,ERI,8.,13:29.45
5000m men,rio 2016,Illias Fifa,ESP,9.,13:30.23
5000m men,rio 2016,Kemoy Campbell,JAM,10.,13:30.32
5000m men,rio 2016,Jacob Kiplimo,UGA,11.,13:30.40
5000m men,rio 2016,Charles Yosei Muneria,KEN,12.,13:30.95
5000m men,rio 2016,Hassan Mead,USA,13.,13:34.27
5000m men,rio 2016,Younes Essalhi,MAR,14.,13:41.41
5000m men,rio 2016,Namakoe Nkhasi,LES,15.,13:41.92
5000m men,rio 2016,Bashir Abdi,BEL,16.,13:42.83
5000m men,rio 2016,Olivier Irabaruta 1,BDI,17.,13:44.08
5000m men,rio 2016,Sam Mcentee,AUS,18.,13:50.55
5000m men,rio 2016,Lucas Bruchet,CAN,19.,14:02.02
5000m men,rio 2016,Richard Ringer,GER,20.,14:05.01
5000m men,rio 2016,Kota Murayama,JPN,21.,14:26.72
5000m men,rio 2016,Hari Kumar Rimal,NEP,22.,14:54.42
